
==============================================================================================================
                                BAI 10 - SELLER RANKING BY REVENUE AND ORDERS                                 
==============================================================================================================
Rank        Seller_ID                   Total_Revenue   Total_Orders  Total_Items_Sold  Avg_Revenue_Per_Item
      1684  de09d00cfc265b8804c7df3...          827.97             3                 3                275.99
      1685  b0b346d3a89f5eb4c2968af...           826.6            11                12                 68.88
      1686  55c26bcb609f480eb786859...          826.23             6                 6                137.71
      1687  bd1d49a326abfa9b1036772...           826.2            12                13                 63.55
      1688  a56e351445e5863fc896064...          825.98             3                 4                 206.5
      1689  94231344608e603693b0a88...          824.18             3                 3                274.73
      1690  83d7070a0b9a8b4625fa868...           822.4             2                 2                 411.2
      1691  5ef131ac72773e5b3f6c0d6...          821.99            10                11                 74.73
      1692  13f57c12a00ed4610db646b...          821.15             7                13                 63.17
      1693  0d83f8e03188682112cc0d9...          820.57             4                 8                102.57
      1694  2063dd1b9f568df1c16741e...          820.27             3                 3                273.42
      1695  9535a841eecebed61a9fb1a...          818.33             2                 2                409.17
      1696  ed8cb7b190ceb6067227478...          816.21            15                17                 48.01
      1697  8e29d051f810eb22959ede2...          813.28             2                 2                406.64
      1698  191d55f7edb8524d525ed01...           812.8             3                 3                270.93
      1699  a254c682cc01e119f835304...          809.42             6                 7                115.63
      1700  38102b031c2a15e54623d71...          809.41             9                11                 73.58
      1701  8c0de775f52fe41590b376a...          808.03             9                 9                 89.78
      1702  0a85ebe4e328db81ac91097...          805.65            12                12                 67.14
      1703  38e6dada03429a47197d5d5...          803.05             7                12                 66.92
      1704  d79e8478eed9999493990b4...          802.61             5                 5                160.52
      1705  fac35d150712afb921ec59a...          800.64             5                 6                133.44
      1706  179d859f51292aac5c10806...          800.27            18                19                 42.12
      1707  73b8eb4a9a729d4019b24ed...          797.98             8                 8                 99.75
      1708  8d899e15a5925f097cca50f...          795.98             4                10                  79.6
      1709  8759e7aedd644f487315e58...          793.34             3                 3                264.45
      1710  56db5c0782e8f7ddc9343f9...          791.95             2                 2                395.97
      1711  2059c39f76271d4ca3f15b5...          791.29            12                12                 65.94
      1712  1d29dfba02015238dfbe244...          789.92            12                12                 65.83
      1713  cf654707ed6a99f112c7ec3...          789.54             3                 4                197.39
      1714  b7ed9fb14c8eadb37adb9c4...          787.75             7                11                 71.61
      1715  e4ebd3f87bf70440014f07d...          787.26             7                 7                112.47
      1716  8c91bfea4263b8fba540814...          785.75             2                 2                392.88
      1717  5bba18b40e8c973b0f32e74...           784.8             1                 1                 784.8
      1718  6824a69c9ea0313eba299dd...          784.08             6                 7                112.01
      1719  0b36063d5818f81ccb94b54...           783.0             1                15                  52.2
      1720  d558ebe531605a1285ab2b1...          782.23             3                 3                260.74
      1721  2aa3443d7bf9d9bb11133f4...          781.12            10                10                 78.11
      1722  b4b447d715f9ab302a188fb...          779.66             5                 5                155.93
      1723  48fb026ed7455a42f5d3e93...          779.14            11                11                 70.83
      1724  7b98de631987e26dd6d8034...          778.63             8                 8                 97.33
      1725  d94ba08b99bedd6a5f6c875...          778.27             9                10                 77.83
      1726  c447f8dd3ed213f291d65ef...          777.23             7                 8                 97.15
      1727  89dda63a3c907c468ec88c3...          777.13             2                 2                388.57
      1728  525e75a6fb1454a2325ab17...          777.07            10                11                 70.64
      1729  da4d149c0ddbac90557103a...          775.98             1                 1                775.98
      1730  c33a5c3c983090c8b78a28e...          774.16             9                 9                 86.02
      1731  b64d51f0435e884e8de603b...          773.54            17                23                 33.63
      1732  54aa8463e87776b5612f4bd...          772.83             7                 7                 110.4
      1733  26af45f5dfd967225a83283...          771.61            10                11                 70.15
      1734  b0398568231ba5e6734af18...          770.12             4                 4                192.53
      1735  228e4c1a0be164f613d41c2...          769.44             5                 5                153.89
      1736  f3295428338a40977a03f55...          769.38             7                 7                109.91
      1737  8132b9bd16876e1b0f8808d...          768.94             2                 3                256.31
      1738  768a86e36ad6aae3d03ee3c...           767.7            17                17                 45.16
      1739  61c36f0fc4a47f9532e5512...          767.69             1                 1                767.69
      1740  1352e06ae67b410cdae0b2a...          765.22             4                 4                191.31
      1741  9cad4b68bb993ee401a3c5a...          763.33             5                 7                109.05
      1742  9d5604a1f112324ad6b2aa5...          761.98            13                17                 44.82
      1743  2fb25ab44bdbeae6a4d816e...          761.29             5                 5                152.26
      1744  72c38a04bd6a1c3dbc52984...          760.65             4                 5                152.13
      1745  07d75e33f2750d97d467fb5...          759.59             2                 2                 379.8
      1746  299c89a525fee36c567f4fe...          757.75             2                 2                378.88
      1747  01c97ebb5cdac52891c0ed1...           756.0             9                12                  63.0
      1748  acf974e4d5950ad143a2474...          753.62             5                12                  62.8
      1749  6c99c983ce3b6ba0ab813e6...          752.51             9                 9                 83.61
      1750  0570350b23eda5444f8d1d9...          751.76             6                11                 68.34
      1751  3d3ccf2b2f8134b10dce9dd...          750.53             3                 3                250.18
      1752  6e0908ef4d4efadbc3cc2b7...          750.28             8                11                 68.21
      1753  262237171f48e8581906549...           749.0             4                10                  74.9
      1754  02b72cdeb9cfcc429f1af6f...          748.64             4                 4                187.16
      1755  b6dc74ed30f124f95227bed...          747.59            11                13                 57.51
      1756  916748bc99315c2d202898a...          746.51            25                32                 23.33
      1757  95b293867b5862941c9cd74...          746.22             9                 9                 82.91
      1758  26bad72add1f86e08a776ce...          745.92             7                 7                106.56
      1759  aae5e7b457a3c72ee230a47...          745.57             5                 7                106.51
      1760  d9cd369bffa979d1634f8e1...          744.81             3                 3                248.27
      1761  f52c2422904463fdd7741f9...           744.8            12                13                 57.29
      1762  270d3ef21830ad0ecf3a6c5...          743.67             6                18                 41.32
      1763  3ef37b7ca6dd2b80bd8af81...          740.97             2                 2                370.49
      1764  4e6015589b781adaa5ce7f1...           740.5             3                 3                246.83
      1765  6d988d6174a2c2744159717...           737.2            19                23                 32.05
      1766  11938fcc75f6902fea1d0a6...          737.14             2                 2                368.57
      1767  c84592044b180dec206770c...           736.2            15                15                 49.08
      1768  328acb143b4a73aad6bee8e...          734.75             2                 2                367.38
      1769  b274baf5bbd142410eb2958...          734.57             7                 7                104.94
      1770  be3b4b0f050a6aa1b2d901c...          733.72             3                 8                 91.71
      1771  39a5005f2605cbdb4f9ac14...          733.66             3                 8                 91.71
      1772  8a207b6080964f3c1fc9d35...          730.04             2                 3                243.35
      1773  eb5b6204dde3a6e03b5f1bb...          727.33            19                21                 34.63
      1774  b12cfd255810394b60caef1...          726.15             2                 2                363.08
      1775  2f74af7a0ee5636f12c2336...          724.47            13                13                 55.73
      1776  c157bdeedcbc9a8e3c8bf0d...          722.97             7                10                  72.3
      1777  1d503743d2526f03f0c2c89...          720.53            12                17                 42.38
      1778  9c1c0c36cd23c20897e4739...          717.04             6                 7                102.43
      1779  385799a1cddbd26dfeb9157...          716.54             5                 7                102.36
      1780  1b4b28463457a256e9a784e...          715.34             1                 1                715.34
      1781  5d043cd5512d4bd2f88e5cc...          714.91             1                 1                714.91
      1782  5a6a02f419701fc8c605af7...          714.41            10                11                 64.95
      1783  768de2a4fc06aacecb9a586...          713.53            14                14                 50.97
      1784  eebb3372362aa9a46975164...          711.32             7                 8                 88.91
      1785  a513150f33f99a06569e9cd...          711.25             2                 2                355.63
      1786  cb9fb4ca75d7ba8437480e8...          705.56            10                10                 70.56
      1787  4de6e4ba574aa9dfdc824bc...          704.42            14                14                 50.32
      1788  e601b04acf48b4576e73ddc...          702.94            15                16                 43.93
      1789  3f9be91358837bff69df67e...          702.06             7                 7                100.29
      1790  89ad3263c0931c47f976d7c...          699.74             6                 6                116.62
      1791  b44dbfbf62e52125f3c15d2...          699.06             4                 8                 87.38
      1792  5882f40daf39bc2a465e0cb...           698.9             1                 1                 698.9
      1793  6e4a902d1054e4e17aa6eab...           695.7             7                 8                 86.96
      1794  6650fcccd8cd2f7e55ffa52...           695.7             3                 3                 231.9
      1795  c53bcd3be457a342a97e39e...          695.59             5                 5                139.12
      1796  b26741d31a563d769b4af04...          695.03             2                 2                347.52
      1797  af7cdac9d9897cddead9c6b...          694.01             6                 6                115.67
      1798  c458e2045a8aa8964f8879a...           691.7             4                 9                 76.86
      1799  4be6b962d83299498bae219...          691.09            11                12                 57.59
      1800  3be5841cdcc46de4ed3f911...          687.95             4                 4                171.99
      1801  6179a28a13a726c29b3bf54...          686.24             2                 2                343.12
      1802  70b52a4cfc823994561b00b...          685.35             8                10                 68.54
      1803  26d6bbee02420494d471c9f...           681.7            12                13                 52.44
      1804  3968920b9aa752ab98f7d58...          681.01             8                10                  68.1
      1805  c52c644cc0dc85121207a27...          680.96             1                 2                340.48
      1806  6879c4d287a8dd06b11f54e...          677.13             6                 6                112.86
      1807  6eeed17989b0ae47c9f11ec...          676.01             3                 3                225.34
      1808  53336f97ddbe53e2a617d07...          674.83             1                 1                674.83
      1809  83353a83fd769dfafa4f21a...          674.33             5                 5                134.87
      1810  685b870da5b52a710782c9c...          670.98             2                 2                335.49
      1811  ff4e2d38692ce827b1a4f4b...          669.18            11                11                 60.83
      1812  6dc9bec584588412a6a3388...          667.83             2                 2                333.91
      1813  48efc9d94a9834137efd9ea...           666.0            33                34                 19.59
      1814  bf961104a38e01b9062ee02...          665.46             4                 4                166.37
      1815  63ffcb71394dd8ea3872ed9...          663.72            17                17                 39.04
      1816  e4fc40017a6d22c46a14ac2...          662.05             3                 3                220.68
      1817  4170f6a9367e6b5d6401d03...          661.81             4                 5                132.36
      1818  b5bb2b985208834bd5bd86c...          659.72             2                 2                329.86
      1819  7402d13c03a7e91366337cd...          659.57             4                 4                164.89
      1820  89bc797e2e29667aa035d43...          659.45            17                20                 32.97
      1821  c7a0a13cbcf29d5ce51c8f8...           657.8             8                 9                 73.09
      1822  ad8ada0ffa993cb1197d102...          656.16             1                 2                328.08
      1823  4e326052e5dbba8adcd512f...          655.96             3                 6                109.33
      1824  6ee85be3693ed79a8e80718...          655.32             9                13                 50.41
      1825  9e6967d3cf386d284251784...           654.9             9                11                 59.54
      1826  f5b44895715ddfe3087dc41...          654.44            19                19                 34.44
      1827  791cfcfe22fe4a771ece27f...          653.75             2                 2                326.88
      1828  13c2ed7698b3ca92dad49e8...          653.29             8                 9                 72.59
      1829  d4e4b5192cba4e0e66eb12a...          652.09            12                12                 54.34
      1830  bbaff50f3b708fda8659187...          651.77            12                16                 40.74
      1831  3ea00e1dea2b0659dbaf654...          649.97             7                 7                 92.85
      1832  a35ef466c6fd6d052f5d241...          649.55             3                 3                216.52
      1833  7c1fea10b5b006671d608b1...          647.75            14                14                 46.27
      1834  2e7ea2aafec5835e781b21d...          646.62             7                 7                 92.37
      1835  1588ac4010787100dddef64...          645.97             3                 3                215.32
      1836  bb2afe2061d53c6968aa0cf...          644.02             5                 6                107.34
      1837  e627629ba868740e287800f...          643.55            13                13                  49.5
      1838  8b2d4ab22f42c5cfc338b84...          643.32             6                 9                 71.48
      1839  c3aad7dc65449ae90a5e9c3...          640.36             6                 6                106.73
      1840  ce616e1913288884e7742fa...          640.03            15                24                 26.67
      1841  1fe61aa5494bd3ae92a2c13...          638.58             1                 2                319.29
      1842  f9ec7093df3a7b346b7bcf7...          638.13             9                 9                  70.9
      1843  74871d19219c7d518d00902...          637.91             6                 7                 91.13
      1844  b87a7ea0c30fad2dd6781b7...          637.75             9                 9                 70.86
      1845  1f7fd2a6fcd5a6fa5d8a4da...          632.68             3                 3                210.89
      1846  2953ce3a88f5e3c3b696d77...          631.32            14                15                 42.09
      1847  d197aa8fbc64087f61984de...          630.65             6                 7                 90.09
      1848  9599519be538b98748162a2...          630.06             1                 3                210.02
      1849  70125af26c2d6d4ef401a1d...          629.62             5                 8                  78.7
      1850  6c17baf138731a4aaacc321...          628.72             4                 5                125.74
      1851  c42fd8e4d47dfb18ce5222f...          628.63             7                11                 57.15
      1852  5f5a58930c3c35f3b5af264...          628.59             3                 3                209.53
      1853  cd2169d9f31ff6fbb9ca337...          625.33             1                 1                625.33
      1854  b3f19518fcec265b2e97af2...          624.48             9                 9                 69.39
      1855  3d0cd21d41671c46f82cd11...          622.38             9                11                 56.58
      1856  7b7f91e98f8c6def45a1407...          620.49            11                14                 44.32
      1857  d7485b33791774c36108f8c...          619.14            10                10                 61.91
      1858  32fdd5d44ecb43dfd6a24b9...          617.88             8                 8                 77.24
      1859  33cbda8716511e27e556dff...          615.57             5                 6                102.59
      1860  4a82168aaef173cbb6e46ae...          612.39             4                 4                 153.1
      1861  eb9cd5b35d95206585e2185...          611.55             2                 3                203.85
      1862  a2fa0bdc798ee84cdb08281...          611.02            10                13                  47.0
      1863  f524ad65d7e0f1daab730ef...           609.5             1                 2                304.75
      1864  b248792ac0b60ec3f93d80a...          608.35             7                 9                 67.59
      1865  fc59392d66ef99377e50356...          606.96             5                 5                121.39
      1866  a06c8ff043abea0528ee441...          606.93             8                 8                 75.87
      1867  08084d990eb3f53af056ccb...          606.79            12                12                 50.57
      1868  35b96509602ec4b7da831b5...          606.45             2                 2                303.23
      1869  08d1c9478fb0d7d7fcac9c0...          605.57             1                 1                605.57
      1870  e1b12447a75639448431917...          599.13             9                10                 59.91
      1871  97e995629983723d11830a8...          598.87             5                 5                119.77
      1872  6e13dd869aa7185f601c941...          598.08             5                 6                 99.68
      1873  e3dd723429d1b23614b7fa8...          597.62             7                 8                  74.7
      1874  7994b065a7ffb14e71c6312...          597.34             5                 7                 85.33
      1875  e433f5fd4050e3352b5d835...          596.77             1                 1                596.77
      1876  20a7efa9721046319bdde5d...          596.59             3                 6                 99.43
      1877  ccbd753e6863fe7314dc6c0...          596.56             1                 1                596.56
      1878  f650a9708fa1bab22bdd8d3...          594.58             5                 5                118.92
      1879  bd15ee794d5e640d9dd71b6...          594.13            12                12                 49.51
      1880  651fe66032c9520ee5587f6...          592.73             7                 7                 84.68
      1881  64b87978a11c1ea7501a89e...          591.83             7                 7                 84.55
      1882  6219ba2359cfb97f2e38fd4...          590.55             6                 6                 98.43
      1883  2c3d56f92f360fb89d849b8...          590.44             8                 8                 73.81
      1884  55029529919c0123526150b...          588.83             7                 7                 84.12
      1885  35fb511489d9ee3ee27a76d...          586.79             7                 7                 83.83
      1886  2009a095de2a2a41626f6c6...          582.43             8                12                 48.54
      1887  e59e489e2ea74bd409b798b...          581.76             3                 5                116.35
      1888  0951a6e282947e09cd47969...          580.32             7                 7                  82.9
      1889  7e79d65b5c6f1f544b7daea...          579.89             4                 4                144.97
      1890  820c7c9eaf76d2b226b6c24...           577.0             1                 1                 577.0
      1891  acb6c2ca5c82411c1fdb88d...          575.49            10                11                 52.32
      1892  2493dc3f20131696a0ecdb9...          575.07             4                 4                143.77
      1893  f22a247b79dd22ecd91dc8e...          574.84             8                 8                 71.85
      1894  4e480be820e37de1444325f...          573.74             1                 2                286.87
      1895  ea00f977a203ff88adf7057...           573.4            19                19                 30.18
      1896  35857757f553273b1056c1c...          573.34             6                 6                 95.56
      1897  b9c0ffa92f3ff9a5a3d45ef...          572.17             3                 3                190.72
      1898  979e9f8b5b39dd243a2550c...          571.88             3                 4                142.97
      1899  9fc70243fb26800cba56e8f...           571.3             6                 7                 81.61
      1900  4cc4fd4fdd406a85bbdc1f8...          571.22             1                 2                285.61
      1901  2b2fed75b8e5ea3a052fc4c...          570.83             3                 4                142.71
      1902  fadb07c842a2aef5d5a676b...          570.37             7                 7                 81.48
      1903  ff314fa6033cc68ec451c47...          570.34             2                 2                285.17
      1904  28fb0829fd777877cdc350d...          569.26             4                 4                142.32
      1905  79ee721b6f766066a802644...          568.36             2                 2                284.18
      1906  59cd88080b93f3c18508673...          567.71            10                12                 47.31
      1907  b080809eaacb49e5ca07290...           567.4            11                11                 51.58
      1908  0c7f30ae9b147eca07affbe...          567.11             5                 5                113.42
      1909  c286ec035ee04ba81c97508...           565.9             2                 2                282.95
      1910  64cc804291f90c81f02bfc2...          564.14             2                 2                282.07
      1911  a8739afb32aaa45e01815ca...          563.56            13                15                 37.57
      1912  09bad886111255c5b503031...          560.36             5                 5                112.07
      1913  d65f31d2413268e67198950...          559.95             2                 3                186.65
      1914  5e49e3a44bdeb5aab268425...          559.77             3                 3                186.59
      1915  bac692d6c0ed08467878018...          559.23             1                 3                186.41
      1916  29e6e05b65f93bc224c6443...          558.92             4                 4                139.73
      1917  f1198c871e0171278b63f40...          558.07             2                 2                279.03
      1918  038b75b729c8a9a04b0d07c...          557.85             2                 2                278.92
      1919  08d0949a9a17c027262db1f...          557.84            12                12                 46.49
      1920  c026ef0d72e9132d9fa1123...          557.72             1                 1                557.72
      1921  48e954b2da4f6a750c84417...          556.81             2                 6                  92.8
      1922  c1f12f926d0ba950578b4fa...          556.56             2                 4                139.14
      1923  bd149ed516d4c5d418d5781...          555.94             8                 9                 61.77
      1924  0747d5bb69f0586cc869d8a...          555.49            14                15                 37.03
      1925  a7dc4098e4da6e41b426269...          554.45             2                 3                184.82
      1926  0ddefe3c7a032b91f4e25b9...           552.9             9                10                 55.29
      1927  404e1ba01358af4cd63f679...          551.73             8                12                 45.98
      1928  86ff3eaef0267069cc891a2...          550.36             7                 7                 78.62
      1929  4049512728d969bec69f840...          550.27             7                 9                 61.14
      1930  5dc203c7b84a0e71e878a17...          550.05             5                 5                110.01
      1931  8fec2e460530482132c436c...          548.61             3                 5                109.72
      1932  fcba71d4d5db057f4324914...          548.27             3                 3                182.76
      1933  ed9eef5be0992d413d251fa...          547.34             3                 9                 60.82
      1934  7e959205cebc10adefcb331...          546.55             2                 2                273.28
      1935  265fdc289dffa9f1ad801c7...          546.55             1                 1                546.55
      1936  3296662b1331dea51e74450...          545.51             1                 1                545.51
      1937  a53f60f05f822b5c621a50f...          544.53             4                 6                 90.76
      1938  a5bff0f43eb51f0cad7c37f...          541.27             4                 5                108.25
      1939  f88adb15807168d3c43d710...          541.06             3                 3                180.35
      1940  079d295dcbf06ee8bb1b65b...          540.09             5                10                 54.01
      1941  117cfc326c6d50da67ca858...          536.08             5                 5                107.22
      1942  b29d3380981c51df13fc6fb...          533.88             6                 7                 76.27
      1943  e5899683388855d3dabe891...          533.86             3                 3                177.95
      1944  0249d282d911d23cb8b869a...          531.88            11                11                 48.35
      1945  20a8b0dc55da94fe74d1120...          531.38             7                 7                 75.91
      1946  6b803197e03abd5056b4313...          530.62             7                12                 44.22
      1947  feb793c88d836c3a75efa4b...          530.17             1                 1                530.17
      1948  83a75eea11694e36e56dd0c...          529.47             3                 3                176.49
      1949  ff1e15b778c700abdd4d239...          529.16             7                 7                 75.59
      1950  777a0c55737f34ffeb78010...          528.33             6                 6                 88.06
      1951  ead2bab70821ea148476ae9...           528.3             9                 9                  58.7
      1952  6c1b6d0c604b776f844125f...           524.5             5                 5                 104.9
      1953  101a3a003516bc11253298b...           524.0             5                 6                 87.33
      1954  08f5819815f3d0654501185...          522.83             3                 3                174.28
      1955  968ee78631915a63fef426d...          521.67             2                 2                260.84
      1956  c0e6839516f5398edc34adf...          520.84             3                 3                173.61
      1957  c7dcd301ecfe5ab7f778ac1...          519.83             4                 4                129.96
      1958  ee2fbacc2fc3794e656cc4d...           518.7             2                 3                 172.9
      1959  35ef5aa32949680f627efec...          518.41             4                 5                103.68
      1960  b98b715fe9e276204e2a346...          517.62             6                 6                 86.27
      1961  d90fe2229fee1a5da999ccd...          516.91             3                 3                 172.3
      1962  3985a3c45be355a4c57fde1...           516.2             7                 8                 64.53
      1963  c3f5668699a1b04c0fa61ec...          514.93             3                 3                171.64
      1964  761681a821d8275bc79f552...           514.9             3                 3                171.63
      1965  41b14765bd56c8ad1097107...          514.63             8                10                 51.46
      1966  5c853bb56f70f4d14218944...          514.19            23                24                 21.42
      1967  29fe9f200d3fa0c668d2aa1...          514.16             5                 5                102.83
      1968  c3251e13f1bbda6c74e37c1...          513.08             2                 2                256.54
      1969  70c4eedec9cb4a85cda2f3f...          512.55             2                 2                256.28
      1970  7816cd9c5b1238e320545f5...          511.76             1                 1                511.76
      1971  cc80e2f693fa6e2408f47cc...          508.63             2                 2                254.32
      1972  9dd59e43f0c9f0553244e8f...          508.12            10                10                 50.81
      1973  cb0b3bcf14e0a709df412a9...          507.43             2                 2                253.72
      1974  f4ce8ca9fa7157e3b33f536...          507.13             4                 4                126.78
      1975  85cc55e048b6bcc90c75afe...          501.76             9                 9                 55.75
      1976  89de2d6f23e9746ff309705...          500.08             8                 8                 62.51
      1977  7c4618c82226628831613e9...          499.47            13                13                 38.42
      1978  0fe2d9733ed841eb0645039...          498.35             3                 3                166.12
      1979  ce20a2ec1514c25e16f2b5b...          496.03             4                 7                 70.86
      1980  79565f7d5603b24ddf07ade...          494.07             8                 8                 61.76
      1981  41e0fa5761c886a630994a5...          491.91             5                 5                 98.38
      1982  c714262700f93defc16bf17...          491.33             4                 4                122.83
      1983  c24173065483e421f9e5e7f...          491.21             9                 9                 54.58
      1984  98115075dd26cb8835946fc...           491.2             4                 4                 122.8
      1985  a35124e2d763d7ca3fbe3b9...          490.39             4                 7                 70.06
      1986  939e6227d6964a11a70aa91...          488.25             4                 4                122.06
      1987  92d14edfb62ee5ae7fdff70...          487.65             8                13                 37.51
      1988  f7df46c1e0ec44eed5c6726...          487.44             3                 3                162.48
      1989  dd88d13bea9e4c2bf47daf2...          487.38             1                 1                487.38
      1990  ae8bfdbf1c2a2a2dee92d79...          486.14             8                 8                 60.77
      1991  ab27bbbad5239bc31a34709...          485.05             3                11                  44.1
      1992  3d01d1c414c44b5943a0961...          484.94             5                 5                 96.99
      1993  0a82f5fb06a4fe4ac2cf7cb...           484.8             2                 2                 242.4
      1994  e546117ed9cafbc40239c0c...          484.34             2                 2                242.17
      1995  e53d5b9b29d1218281f4a90...          483.92             4                 5                 96.78
      1996  3076499bbc033a927bf4a8a...          483.63             7                 9                 53.74
      1997  55c96925041a14097b6a782...          483.37             6                10                 48.34
      1998  bc30de0d71bd6260b936a02...          482.85             3                 3                160.95
      1999  64c9a1db4e73e19aaafd328...           482.6             1                 1                 482.6
      2000  e603cf3fec55f8697c90596...          482.47             8                11                 43.86
      2001  189ca3538ce9f920cacf0f9...          481.67             4                 5                 96.33
      2002  dc50afafdfa325eadc890c7...          481.48             4                 4                120.37
      2003  0f0c984a4a955310903b6b6...          481.38             4                 4                120.35
      2004  392353362d22cc2c236e1ee...          480.67             5                10                 48.07
      2005  5275ca25d0358ca73864e0a...          478.82             4                 4                119.71
      2006  042573af89b6d931f672efa...          478.57             3                 3                159.52
      2007  2bf28e311bba65237358230...          477.88             7                 8                 59.74
      2008  6d7f8d9d594e28796b6b320...          477.01             3                 3                 159.0
      2009  184a67a8f9f63234d3a9234...           477.0             8                11                 43.36
      2010  a11a0e0ca67423425691db3...          476.98             2                 2                238.49
      2011  aec99834ab5d38ead22766a...          476.51             1                 1                476.51
      2012  a21c11ec5c3f03e7cc9f920...          475.88             3                 4                118.97
      2013  6d2f2e3b539480db1e0842b...          474.26             3                 6                 79.04
      2014  34a557286ead8fe75c989e0...          473.46             4                 4                118.37
      2015  b56828a9f9027f3c918c04c...          471.61             3                 3                 157.2
      2016  fc4751cfe3b279c419615b9...          471.05             1                 1                471.05
      2017  9853a239ab7b7ebbdc3a212...          471.01             5                 5                  94.2
      2018  de66a66f2dd06bb9ec37aa9...          468.98             7                 8                 58.62
      2019  1e9d5a33694bddb76316fd1...          468.94             2                 2                234.47
      2020  5e106d93b717c2682b9383d...          467.61             1                 1                467.61
      2021  f12d3c2a14729ae461b920c...          459.32             9                11                 41.76
      2022  1acde099eb406aa220b1169...           458.5             9                10                 45.85
      2023  57d2ba47f7a3209aa347532...          458.24             2                 2                229.12
      2024  b67d6c666e8dce1d078c882...          457.03             7                 8                 57.13
      2025  9b76ad3d04236f76bc71c59...          456.63             2                 3                152.21
      2026  7b7ed56ae755e2880f2b696...           456.6             5                 5                 91.32
      2027  d2f3e277560ed4c63612844...          454.66             7                 7                 64.95
      2028  94d76e96eedd976258cd327...          454.17             1                 1                454.17
      2029  a45314082d50d578a4721c9...          453.92             2                 2                226.96
      2030  6bd503a8230299c9316fb0f...          453.89             4                 5                 90.78
      2031  4e42581f08e8cfc7c090f93...           453.8             3                 4                113.45
      2032  78ef7e885d17f35e2382a47...          453.44             3                 3                151.15
      2033  c79151301b9d90985d1fa52...          453.11             4                 8                 56.64
      2034  27a56ff04b34c2ba34ce6ba...          452.27             8                 8                 56.53
      2035  7d294cf9a6a69dc6a0c3e54...          451.38             5                 5                 90.28
      2036  c13ef0cfbe42f190780f621...          451.28             1                 1                451.28
      2037  62760d278921b5f35246162...           450.1             3                 3                150.03
      2038  1e8c6a4c538f286aee95732...          446.82             5                 5                 89.36
      2039  fe4cd9461203cee790d3679...          445.53             3                 3                148.51
      2040  73da1880b39c71de2b262bc...          444.99             2                 2                 222.5
      2041  d5c530f4884a75ae0dba9c1...          444.93             6                 9                 49.44
      2042  d263fa444c1504a75cbca5c...          444.07             1                 1                444.07
      2043  fa14641f57b655e933124a9...          442.99             7                 7                 63.28
      2044  615005a3ef192c00c6f0e97...          442.14            10                11                 40.19
      2045  5563732abe64c3036cb97ad...           441.6             2                 3                 147.2
      2046  4a23adac87cf538689fa600...          440.41             3                 3                 146.8
      2047  a37c340b91cb0169e8b029d...          439.95             5                 5                 87.99
      2048  c8660dcf9ba70575f45d80f...          438.99             4                 7                 62.71
      2049  51209b446b2073894bdc0fa...          438.88             2                 4                109.72
      2050  933446e9a59dece7ae91751...          438.85             2                 3                146.28
      2051  ad87df7699e83b8a91822a4...          438.62             6                 7                 62.66
      2052  830379336fad8c6f3b15a4a...          438.38             2                 4                 109.6
      2053  0bfd0b434243adc5c2e1aa6...          436.99             6                 6                 72.83
      2054  12a8eb0f8d1cd3270695bf2...          436.67             2                 2                218.33
      2055  9ac4f14370b1e24ddc58be0...          436.65             5                 5                 87.33
      2056  4e85b538b0dad5885264154...          436.34             4                 4                109.09
      2057  61b18775be84fb700a6b2d0...          436.01             4                 5                  87.2
      2058  085f6f7e049c996695fb207...          435.96             6                 8                  54.5
      2059  a080fc8a850289b27500f6b...          435.57             4                 4                108.89
      2060  9d39404483343dd55c7ae25...          434.28            10                10                 43.43
      2061  15ead3a5037a918ddb520df...          433.95             7                 8                 54.24
      2062  559d56f3b8f0bc2e5a9a62f...          433.72             2                 2                216.86
      2063  d73cbd89533ce8b041a9190...          433.62             4                 4                108.41
      2064  62d977e2b2aee830de3e039...          432.12             2                 2                216.06
      2065  f44bdc12aa39f5271f0b95f...          432.07             5                 7                 61.72
      2066  c1849d4d32d7a6cecd5aa47...          430.71             3                 3                143.57
      2067  f7315bb81aea4ddca2d39e2...          430.08             2                 2                215.04
      2068  97e4a63591ca439a2b8b7ef...           428.5             5                 5                  85.7
      2069  31eec405c9bb71dec8e2629...          427.13             5                 5                 85.43
      2070  52092ddbd3a58c450a4459b...          427.05             6                 6                 71.18
      2071  a64e44665225d19dfc0277e...          426.76             6                 6                 71.13
      2072  a5dd1946fb63ada8bcaa0c9...          426.33             6                 7                  60.9
      2073  1967a9e2ad6f51802b09314...          425.76             2                 2                212.88
      2074  2f4b0d3b9634b647d4edee5...          422.31            10                11                 38.39
      2075  cbbd5ae8f53de5f5097cd82...          422.25             2                 2                211.13
      2076  f543ba3c973276f519d89d5...          422.04             2                 2                211.02
      2077  8fff28c4263ddec387f28d2...          421.68             4                 6                 70.28
      2078  b127efdabeffb5d559349c7...          421.27            10                10                 42.13
      2079  d9d43faf741ceaa8da52fdb...          421.25             6                 8                 52.66
      2080  9c3c24eca51c52b91c1de72...          421.16             6                 6                 70.19
      2081  63191ead8d3b2f937cd1996...          420.29             1                 1                420.29
      2082  b88e7c57cb2d8b973b7dd4a...          419.67             4                 4                104.92
      2083  1b45169b635ef59425637e9...          419.35             7                 8                 52.42
      2084  3afc536624bc2e65bddfb5d...          419.07             6                 6                 69.85
      2085  ad75519a07f039025e83795...          417.92             3                 9                 46.44
